series,model,order,seasonal_order,aic,bic,test_rmse,test_mae,test_mape
Sales,SARIMA,"(0, 0, 2)","(1, 1, 1, 11)",121.4787574563282,126.2009523521604,14.333504418812511,13.266492668043748,17.14910714663246
Sales,SARIMA,"(0, 1, 1)","(1, 1, 1, 11)",90.38685613861348,94.16461205527924,10.499388201760008,8.389393630550392,21.586353682625113
Sales,SARIMA,"(1, 1, 0)","(1, 1, 1, 11)",92.87874008677898,96.86166918099494,11.187198184913626,9.086016366121083,23.003971519459014
Sales,SARIMA,"(2, 0, 1)","(1, 1, 0, 11)",94.01199319711623,98.99065456488619,14.601372847958384,12.819067715399228,24.340749606577976
Sales,SARIMA,"(0, 1, 1)","(1, 1, 0, 11)",98.90826943276215,102.04183674593243,12.265345189956127,10.682197076318051,24.68422223979381
Sales,SARIMA,"(0, 1, 2)","(1, 1, 0, 11)",99.26531645901805,103.44340620991174,12.411813366869927,10.84637112780305,24.99620585567664
Sales,SARIMA,"(0, 1, 0)","(1, 1, 1, 11)",100.20718717634831,103.19438399701029,12.4234826342375,10.612850576443277,25.08475455491271
Sales,SARIMA,"(1, 1, 0)","(1, 1, 0, 11)",92.20379084648802,95.19098766715,12.49214571125674,10.99225230314551,25.11174364632164
Sales,SARIMA,"(0, 0, 2)","(0, 1, 1, 11)",134.21514081402984,137.99289673069558,19.80328804521653,18.28912480541425,25.186493418905687
Sales,SARIMA,"(0, 1, 0)","(1, 1, 0, 11)",102.1268261029292,104.21587097837605,12.72617478159263,11.040432818266623,25.64702462269814
Sales,SARIMA,"(0, 0, 1)","(0, 1, 1, 11)",152.6972483855575,155.68444520621946,22.12365356293493,20.543033924817745,26.211209711348566
Sales,SARIMA,"(0, 0, 0)","(0, 1, 1, 11)",180.27932847328475,182.3683733487316,23.24727337928209,21.40002477272061,26.291755259257517
Sales,SARIMA,"(2, 1, 0)","(1, 1, 0, 11)",87.63149171480491,91.40924763147066,13.353604458656168,12.097171276169602,26.609681460996566
Sales,SARIMA,"(1, 1, 1)","(1, 1, 0, 11)",92.39121687457471,96.37414596879067,14.494985947522114,13.561997163938123,28.385947019915264
Sales,SARIMA,"(0, 1, 0)","(0, 1, 0, 11)",187.6101302875636,189.04411749204874,14.470314440260106,11.827272727272735,29.7910799920171
Sales,SARIMA,"(0, 1, 1)","(0, 1, 0, 11)",183.81581924450973,186.61821400783404,14.540071740378535,11.85891323135953,29.923520093355638
Sales,SARIMA,"(1, 1, 0)","(0, 1, 0, 11)",189.3032890006945,192.1712634096648,14.604762486109136,11.887708268578871,30.042738520136613
Sales,SARIMA,"(0, 1, 2)","(0, 1, 0, 11)",179.41993582312836,183.52182331308776,15.014251265038931,12.093158555477684,30.779297020824654
Sales,SARIMA,"(1, 1, 2)","(0, 1, 0, 11)",181.3793064616532,186.84848978159908,15.109914221852561,12.165805201703817,30.96020780291292
Sales,SARIMA,"(1, 1, 1)","(0, 1, 0, 11)",185.29479101417573,189.4983831591622,15.15278294256924,12.196995363578274,31.008259223007705
